time_step,total_seconds,hours,minutes,seconds,rpm,band,caution_seconds,redline_seconds
4140,4080,1,8,0,10424,OverLimit,240,360
4200,4140,1,9,0,6802,Cruise,240,360
4260,4200,1,10,0,3379,Idle,240,360
4320,4200,1,10,0,124,PowerOff,240,360
4380,4260,1,11,0,2366,Idle,240,360
4440,4320,1,12,0,8969,Cruise,240,360
4500,4380,1,13,0,8723,Cruise,240,360
4560,4440,1,14,0,4624,Climb,240,360
4620,4500,1,15,0,9112,Caution,300,360
4680,4560,1,16,0,8397,Cruise,300,360
4740,4620,1,17,0,9011,Caution,360,360
4800,4680,1,18,0,1152,Idle,360,360
4860,4740,1,19,0,1352,Idle,360,360
4920,4800,1,20,0,3511,Climb,360,360
4980,4860,1,21,0,9844,RedLine,360,420
5040,4920,1,22,0,1036,Idle,360,420
5100,4980,1,23,0,4788,Climb,360,420
5160,5040,1,24,0,9257,Caution,420,420
5220,5100,1,25,0,6865,Cruise,420,420
5280,5160,1,26,0,7616,Cruise,420,420
5340,5220,1,27,0,9246,Caution,480,420
5400,5280,1,28,0,8304,Cruise,480,420
5460,5340,1,29,0,5704,Climb,480,420
5520,5400,1,30,0,10938,OverLimit,480,480
5580,5400,1,30,0,153,PowerOff,480,480
5640,5460,1,31,0,2150,Idle,480,480
5700,5520,1,32,0,2140,Idle,480,480
5760,5580,1,33,0,1399,Idle,480,480
5820,5640,1,34,0,7835,Cruise,480,480
5880,5640,1,34,0,259,PowerOff,480,480
5940,5700,1,35,0,8377,Cruise,480,480
6000,5760,1,36,0,7150,Cruise,480,480
6060,5820,1,37,0,6314,Cruise,480,480
6120,5880,1,38,0,5797,Climb,480,480
6180,5940,1,39,0,6852,Cruise,480,480
6240,6000,1,40,0,9065,Caution,540,480
6300,6060,1,41,0,1132,Idle,540,480
6360,6120,1,42,0,5709,Climb,540,480
6420,6180,1,43,0,4129,Climb,540,480
6480,6240,1,44,0,6639,Cruise,540,480
6540,6300,1,45,0,2166,Idle,540,480
6600,6360,1,46,0,3648,Climb,540,480
6660,6420,1,47,0,4706,Climb,540,480
6720,6480,1,48,0,5025,Climb,540,480
6780,6540,1,49,0,9063,Caution,600,480
6840,6600,1,50,0,8766,Cruise,600,480
6900,6660,1,51,0,3425,Idle,600,480
6960,6720,1,52,0,8731,Cruise,600,480
7020,6780,1,53,0,7346,Cruise,600,480
7080,6840,1,54,0,7252,Cruise,600,480
7140,6900,1,55,0,1392,Idle,600,480
7200,6960,1,56,0,9231,Caution,660,480
7260,7020,1,57,0,5199,Climb,660,480
7320,7080,1,58,0,6280,Cruise,660,480
7380,7140,1,59,0,2805,Idle,660,480
7440,7200,2,0,0,4253,Climb,660,480
7500,7260,2,1,0,6559,Cruise,660,480
7560,7320,2,2,0,10142,RedLine,660,540
7620,7380,2,3,0,4674,Climb,660,540
7680,7440,2,4,0,3423,Idle,660,540
7740,7500,2,5,0,7410,Cruise,660,540
7800,7560,2,6,0,5044,Climb,660,540
7860,7620,2,7,0,4477,Climb,660,540
7920,7680,2,8,0,6112,Cruise,660,540
7980,7740,2,9,0,10156,RedLine,660,600
8040,7800,2,10,0,5363,Climb,660,600
8100,7860,2,11,0,2965,Idle,660,600
8160,7920,2,12,0,2488,Idle,660,600
8220,7980,2,13,0,9938,RedLine,660,660
8280,8040,2,14,0,6289,Cruise,660,660
8340,8100,2,15,0,7308,Cruise,660,660
8400,8160,2,16,0,5543,Climb,660,660
8460,8220,2,17,0,8744,Cruise,660,660
8520,8280,2,18,0,9883,RedLine,660,720
8580,8340,2,19,0,10160,RedLine,660,780
8640,8340,2,19,0,453,PowerOff,660,780
8700,8400,2,20,0,2138,Idle,660,780
8760,8460,2,21,0,3401,Idle,660,780
8820,8520,2,22,0,9383,Caution,720,780
8880,8580,2,23,0,9131,Caution,780,780
8940,8640,2,24,0,9537,Caution,840,780
9000,8700,2,25,0,6254,Cruise,840,780
9060,8760,2,26,0,7343,Cruise,840,780
9120,8820,2,27,0,6659,Cruise,840,780
9180,8880,2,28,0,9225,Caution,900,780
9240,8940,2,29,0,3892,Climb,900,780
9300,9000,2,30,0,5054,Climb,900,780
9360,9060,2,31,0,9141,Caution,960,780
9420,9120,2,32,0,7855,Cruise,960,780
9480,9120,2,32,0,64,PowerOff,960,780
9540,9180,2,33,0,8410,Cruise,960,780
9600,9240,2,34,0,9601,Caution,1020,780
9660,9300,2,35,0,8809,Cruise,1020,780
9720,9360,2,36,0,8040,Cruise,1020,780
9780,9420,2,37,0,3534,Climb,1020,780
9840,9420,2,37,0,382,PowerOff,1020,780
9900,9480,2,38,0,8041,Cruise,1020,780
9960,9540,2,39,0,8938,Cruise,1020,780
10020,9600,2,40,0,3661,Climb,1020,780
10080,9660,2,41,0,9335,Caution,1080,780
10140,9720,2,42,0,10679,OverLimit,1080,840
10200,9780,2,43,0,9153,Caution,1140,840
10260,9840,2,44,0,5272,Climb,1140,840
10320,9900,2,45,0,4710,Climb,1140,840
10380,9960,2,46,0,6873,Cruise,1140,840
10440,10020,2,47,0,2490,Idle,1140,840
10500,10020,2,47,0,251,PowerOff,1140,840
10560,10080,2,48,0,6830,Cruise,1140,840
10620,10140,2,49,0,3635,Climb,1140,840
10680,10200,2,50,0,4987,Climb,1140,840
10740,10260,2,51,0,9942,RedLine,1140,900
10800,10320,2,52,0,2451,Idle,1140,900
10860,10380,2,53,0,8326,Cruise,1140,900
10920,10440,2,54,0,1068,Idle,1140,900
10980,10500,2,55,0,5323,Climb,1140,900
11040,10560,2,56,0,3738,Climb,1140,900
11100,10620,2,57,0,6757,Cruise,1140,900
11160,10680,2,58,0,6087,Cruise,1140,900
11220,10740,2,59,0,4276,Climb,1140,900
11280,10800,3,0,0,6717,Cruise,1140,900
11340,10860,3,1,0,9377,Caution,1200,900
11400,10920,3,2,0,4466,Climb,1200,900
11460,10980,3,3,0,9924,RedLine,1200,960
11520,10980,3,3,0,265,PowerOff,1200,960
11580,11040,3,4,0,5259,Climb,1200,960
11640,11100,3,5,0,6403,Cruise,1200,960
11700,11160,3,6,0,8070,Cruise,1200,960
11760,11220,3,7,0,6809,Cruise,1200,960
11820,11280,3,8,0,2242,Idle,1200,960
11880,11340,3,9,0,9583,Caution,1260,960
11940,11400,3,10,0,5358,Climb,1260,960
12000,11460,3,11,0,9862,RedLine,1260,1020
12060,11520,3,12,0,8842,Cruise,1260,1020
12120,11580,3,13,0,3446,Idle,1260,1020
12180,11640,3,14,0,9143,Caution,1320,1020
12240,11700,3,15,0,8835,Cruise,1320,1020
12300,11760,3,16,0,9166,Caution,1380,1020
12360,11760,3,16,0,353,PowerOff,1380,1020
12420,11820,3,17,0,2591,Idle,1380,1020
12480,11880,3,18,0,7041,Cruise,1380,1020
12540,11880,3,18,0,790,PowerOff,1380,1020
12600,11940,3,19,0,1554,Idle,1380,1020
12660,12000,3,20,0,5357,Climb,1380,1020
12720,12000,3,20,0,281,PowerOff,1380,1020
12780,12060,3,21,0,9503,Caution,1440,1020
12840,12120,3,22,0,4937,Climb,1440,1020
12900,12180,3,23,0,7674,Cruise,1440,1020
12960,12240,3,24,0,9424,Caution,1500,1020
13020,12300,3,25,0,5073,Climb,1500,1020
13080,12360,3,26,0,9492,Caution,1560,1020
13140,12420,3,27,0,1547,Idle,1560,1020
13200,12480,3,28,0,5938,Climb,1560,1020
13260,12540,3,29,0,3567,Climb,1560,1020
13320,12600,3,30,0,3964,Climb,1560,1020
13380,12660,3,31,0,7807,Cruise,1560,1020
13440,12720,3,32,0,4216,Climb,1560,1020
13500,12780,3,33,0,9685,Caution,1620,1020
13560,12840,3,34,0,1785,Idle,1620,1020
13620,12900,3,35,0,9850,RedLine,1620,1080
13680,12960,3,36,0,3281,Idle,1620,1080
13740,13020,3,37,0,8298,Cruise,1620,1080
13800,13080,3,38,0,6330,Cruise,1620,1080
13860,13140,3,39,0,7213,Cruise,1620,1080
13920,13200,3,40,0,7037,Cruise,1620,1080
13980,13260,3,41,0,8952,Cruise,1620,1080
14040,13320,3,42,0,8531,Cruise,1620,1080
14100,13320,3,42,0,799,PowerOff,1620,1080
14160,13380,3,43,0,9994,RedLine,1620,1140
14220,13440,3,44,0,7931,Cruise,1620,1140
14280,13500,3,45,0,10022,RedLine,1620,1200
14340,13560,3,46,0,2893,Idle,1620,1200
14400,13620,3,47,0,6142,Cruise,1620,1200
14460,13680,3,48,0,5583,Climb,1620,1200
14520,13740,3,49,0,10458,OverLimit,1620,1260
14580,13800,3,50,0,4115,Climb,1620,1260
14640,13860,3,51,0,5980,Climb,1620,1260
14700,13920,3,52,0,4915,Climb,1620,1260
14760,13980,3,53,0,1573,Idle,1620,1260
14820,14040,3,54,0,1856,Idle,1620,1260
14880,14100,3,55,0,1779,Idle,1620,1260
14940,14160,3,56,0,8582,Cruise,1620,1260
15000,14220,3,57,0,9615,Caution,1680,1260
15060,14280,3,58,0,1940,Idle,1680,1260
15120,14340,3,59,0,10457,OverLimit,1680,1320
15180,14400,4,0,0,3395,Idle,1680,1320
15240,14460,4,1,0,8309,Cruise,1680,1320
15300,14520,4,2,0,5364,Climb,1680,1320
15360,14580,4,3,0,10400,OverLimit,1680,1380
15420,14640,4,4,0,2758,Idle,1680,1380
15480,14700,4,5,0,6355,Cruise,1680,1380
15540,14760,4,6,0,6865,Cruise,1680,1380
15600,14820,4,7,0,2642,Idle,1680,1380
15660,14880,4,8,0,5317,Climb,1680,1380
15720,14940,4,9,0,1488,Idle,1680,1380
15780,15000,4,10,0,6264,Cruise,1680,1380
15840,15060,4,11,0,8799,Cruise,1680,1380
15900,15120,4,12,0,4184,Climb,1680,1380
15960,15180,4,13,0,7785,Cruise,1680,1380
16020,15240,4,14,0,4788,Climb,1680,1380
16080,15300,4,15,0,6756,Cruise,1680,1380
16140,15360,4,16,0,8971,Cruise,1680,1380
16200,15420,4,17,0,5091,Climb,1680,1380
16260,15480,4,18,0,8878,Cruise,1680,1380
16320,15540,4,19,0,8665,Cruise,1680,1380
16380,15600,4,20,0,6632,Cruise,1680,1380
16440,15660,4,21,0,9392,Caution,1740,1380
16500,15660,4,21,0,545,PowerOff,1740,1380
16560,15720,4,22,0,6293,Cruise,1740,1380
16620,15780,4,23,0,8316,Cruise,1740,1380
16680,15840,4,24,0,6081,Cruise,1740,1380
16740,15900,4,25,0,4448,Climb,1740,1380
16800,15960,4,26,0,1274,Idle,1740,1380
16860,16020,4,27,0,6724,Cruise,1740,1380
16920,16080,4,28,0,6291,Cruise,1740,1380
16980,16140,4,29,0,7068,Cruise,1740,1380
17040,16200,4,30,0,10112,RedLine,1740,1440
17100,16260,4,31,0,8540,Cruise,1740,1440
17160,16320,4,32,0,6113,Cruise,1740,1440
17220,16380,4,33,0,3287,Idle,1740,1440
17280,16440,4,34,0,8388,Cruise,1740,1440
17340,16500,4,35,0,3074,Idle,1740,1440
17400,16560,4,36,0,8360,Cruise,1740,1440
17460,16620,4,37,0,10196,RedLine,1740,1500
17520,16680,4,38,0,1003,Idle,1740,1500
17580,16740,4,39,0,5791,Climb,1740,1500
17640,16800,4,40,0,6504,Cruise,1740,1500
17700,16860,4,41,0,3929,Climb,1740,1500
17760,16920,4,42,0,5090,Climb,1740,1500
17820,16980,4,43,0,9219,Caution,1800,1500
17880,16980,4,43,0,596,PowerOff,1800,1500
17940,17040,4,44,0,8064,Cruise,1800,1500
18000,17100,4,45,0,8750,Cruise,1800,1500
18060,17160,4,46,0,6019,Cruise,1800,1500
18120,17220,4,47,0,9030,Caution,1860,1500
18180,17280,4,48,0,10856,OverLimit,1860,1560
18240,17340,4,49,0,3111,Idle,1860,1560
18300,17400,4,50,0,9502,Caution,1920,1560
18360,17460,4,51,0,1801,Idle,1920,1560
18420,17520,4,52,0,6800,Cruise,1920,1560
18480,17580,4,53,0,9005,Caution,1980,1560
18540,17640,4,54,0,6074,Cruise,1980,1560
18600,17700,4,55,0,8265,Cruise,1980,1560
18660,17760,4,56,0,1801,Idle,1980,1560
18720,17820,4,57,0,6421,Cruise,1980,1560
18780,17880,4,58,0,6385,Cruise,1980,1560
18840,17940,4,59,0,4573,Climb,1980,1560
18900,18000,5,0,0,6975,Cruise,1980,1560
18960,18060,5,1,0,8583,Cruise,1980,1560
19020,18120,5,2,0,9660,Caution,2040,1560
19080,18180,5,3,0,1885,Idle,2040,1560
19140,18240,5,4,0,9561,Caution,2100,1560
19200,18300,5,5,0,6366,Cruise,2100,1560
19260,18360,5,6,0,5248,Climb,2100,1560
19320,18420,5,7,0,6620,Cruise,2100,1560
19380,18480,5,8,0,5328,Climb,2100,1560
19440,18540,5,9,0,4469,Climb,2100,1560
19500,18600,5,10,0,6889,Cruise,2100,1560
19560,18660,5,11,0,1129,Idle,2100,1560
19620,18720,5,12,0,8895,Cruise,2100,1560
19680,18780,5,13,0,8738,Cruise,2100,1560
19740,18840,5,14,0,7516,Cruise,2100,1560
19800,18900,5,15,0,1959,Idle,2100,1560
19860,18960,5,16,0,6127,Cruise,2100,1560
19920,19020,5,17,0,7525,Cruise,2100,1560
19980,19080,5,18,0,8065,Cruise,2100,1560
20040,19140,5,19,0,6509,Cruise,2100,1560
20100,19200,5,20,0,4479,Climb,2100,1560
20160,19260,5,21,0,2474,Idle,2100,1560
20220,19320,5,22,0,3768,Climb,2100,1560
20280,19380,5,23,0,10413,OverLimit,2100,1620
20340,19440,5,24,0,4521,Climb,2100,1620
20400,19500,5,25,0,6483,Cruise,2100,1620
20460,19560,5,26,0,10098,RedLine,2100,1680
20520,19620,5,27,0,9615,Caution,2160,1680
20580,19680,5,28,0,1672,Idle,2160,1680
20640,19740,5,29,0,2265,Idle,2160,1680
20700,19800,5,30,0,7153,Cruise,2160,1680
20760,19860,5,31,0,9529,Caution,2220,1680
20820,19860,5,31,0,325,PowerOff,2220,1680
20880,19920,5,32,0,1742,Idle,2220,1680
20940,19980,5,33,0,5715,Climb,2220,1680
21000,20040,5,34,0,9489,Caution,2280,1680
21060,20100,5,35,0,1172,Idle,2280,1680
21120,20160,5,36,0,6116,Cruise,2280,1680
21180,20220,5,37,0,4080,Climb,2280,1680
21240,20280,5,38,0,3953,Climb,2280,1680
21300,20340,5,39,0,7481,Cruise,2280,1680
21360,20400,5,40,0,10001,RedLine,2280,1740
21420,20460,5,41,0,9745,Caution,2340,1740
21480,20520,5,42,0,8016,Cruise,2340,1740
21540,20580,5,43,0,5397,Climb,2340,1740
21600,20640,5,44,0,9073,Caution,2400,1740
21660,20700,5,45,0,2971,Idle,2400,1740
21720,20760,5,46,0,9013,Caution,2460,1740
21780,20760,5,46,0,514,PowerOff,2460,1740
21840,20820,5,47,0,6571,Cruise,2460,1740
21900,20880,5,48,0,8327,Cruise,2460,1740
21960,20880,5,48,0,624,PowerOff,2460,1740
22020,20940,5,49,0,1981,Idle,2460,1740
22080,21000,5,50,0,9306,Caution,2520,1740
22140,21060,5,51,0,4127,Climb,2520,1740
22200,21120,5,52,0,6373,Cruise,2520,1740
22260,21180,5,53,0,4846,Climb,2520,1740
22320,21240,5,54,0,4236,Climb,2520,1740
22380,21300,5,55,0,9130,Caution,2580,1740
22440,21360,5,56,0,8284,Cruise,2580,1740
22500,21420,5,57,0,3709,Climb,2580,1740
22560,21480,5,58,0,4318,Climb,2580,1740
22620,21540,5,59,0,9310,Caution,2640,1740
22680,21600,6,0,0,1975,Idle,2640,1740
22740,21660,6,1,0,3896,Climb,2640,1740
22800,21720,6,2,0,7229,Cruise,2640,1740
22860,21780,6,3,0,4743,Climb,2640,1740
22920,21780,6,3,0,847,PowerOff,2640,1740
22980,21840,6,4,0,10075,RedLine,2640,1800
23040,21900,6,5,0,4392,Climb,2640,1800
23100,21960,6,6,0,9005,Caution,2700,1800
23160,22020,6,7,0,10156,RedLine,2700,1860
23220,22080,6,8,0,5235,Climb,2700,1860
23280,22140,6,9,0,1324,Idle,2700,1860
23340,22200,6,10,0,3832,Climb,2700,1860
23400,22260,6,11,0,4582,Climb,2700,1860
23460,22320,6,12,0,2303,Idle,2700,1860
23520,22380,6,13,0,10957,OverLimit,2700,1920
23580,22440,6,14,0,5156,Climb,2700,1920
23640,22500,6,15,0,7759,Cruise,2700,1920
23700,22560,6,16,0,9977,RedLine,2700,1980
23760,22620,6,17,0,6438,Cruise,2700,1980
23820,22680,6,18,0,10190,RedLine,2700,2040
23880,22740,6,19,0,2661,Idle,2700,2040
23940,22800,6,20,0,2172,Idle,2700,2040
24000,22860,6,21,0,9057,Caution,2760,2040
24060,22920,6,22,0,2095,Idle,2760,2040
24120,22980,6,23,0,6938,Cruise,2760,2040
24180,23040,6,24,0,8311,Cruise,2760,2040
24240,23100,6,25,0,4997,Climb,2760,2040
24300,23160,6,26,0,8135,Cruise,2760,2040
24360,23220,6,27,0,2616,Idle,2760,2040
24420,23280,6,28,0,6947,Cruise,2760,2040
24480,23340,6,29,0,2214,Idle,2760,2040
24540,23400,6,30,0,8970,Cruise,2760,2040
24600,23460,6,31,0,10129,RedLine,2760,2100
24660,23520,6,32,0,3361,Idle,2760,2100
24720,23580,6,33,0,3809,Climb,2760,2100
24780,23640,6,34,0,5785,Climb,2760,2100
24840,23700,6,35,0,8540,Cruise,2760,2100
24900,23760,6,36,0,4613,Climb,2760,2100
24960,23820,6,37,0,7804,Cruise,2760,2100
25020,23880,6,38,0,9777,Caution,2820,2100
25080,23880,6,38,0,759,PowerOff,2820,2100
25140,23940,6,39,0,4108,Climb,2820,2100
25200,24000,6,40,0,2288,Idle,2820,2100
25260,24060,6,41,0,4634,Climb,2820,2100
25320,24120,6,42,0,1457,Idle,2820,2100
25380,24180,6,43,0,5754,Climb,2820,2100
25440,24240,6,44,0,4598,Climb,2820,2100
25500,24300,6,45,0,4447,Climb,2820,2100
25560,24360,6,46,0,4677,Climb,2820,2100
25620,24420,6,47,0,5994,Climb,2820,2100
25680,24480,6,48,0,4116,Climb,2820,2100
25740,24540,6,49,0,2066,Idle,2820,2100
25800,24600,6,50,0,9291,Caution,2880,2100
25860,24660,6,51,0,4046,Climb,2880,2100
25920,24720,6,52,0,1352,Idle,2880,2100
25980,24780,6,53,0,5985,Climb,2880,2100
26040,24840,6,54,0,6129,Cruise,2880,2100
26100,24900,6,55,0,5784,Climb,2880,2100
26160,24960,6,56,0,5252,Climb,2880,2100
26220,25020,6,57,0,3964,Climb,2880,2100
26280,25080,6,58,0,9077,Caution,2940,2100
26340,25140,6,59,0,8717,Cruise,2940,2100
26400,25200,7,0,0,4678,Climb,2940,2100
26460,25260,7,1,0,6406,Cruise,2940,2100
26520,25320,7,2,0,3114,Idle,2940,2100
26580,25380,7,3,0,2966,Idle,2940,2100
26640,25440,7,4,0,6374,Cruise,2940,2100
26700,25500,7,5,0,7658,Cruise,2940,2100
26760,25560,7,6,0,8699,Cruise,2940,2100
26820,25620,7,7,0,2426,Idle,2940,2100
26880,25680,7,8,0,2186,Idle,2940,2100
26940,25680,7,8,0,81,PowerOff,2940,2100
27000,25740,7,9,0,1362,Idle,2940,2100
27060,25800,7,10,0,9404,Caution,3000,2100
27120,25860,7,11,0,3322,Idle,3000,2100
27180,25920,7,12,0,4703,Climb,3000,2100
27240,25980,7,13,0,7605,Cruise,3000,2100
27300,26040,7,14,0,4451,Climb,3000,2100
27360,26100,7,15,0,8821,Cruise,3000,2100
27420,26160,7,16,0,6650,Cruise,3000,2100
27480,26220,7,17,0,7920,Cruise,3000,2100
27540,26280,7,18,0,1786,Idle,3000,2100
27600,26340,7,19,0,6525,Cruise,3000,2100
27660,26400,7,20,0,1574,Idle,3000,2100
27720,26460,7,21,0,6245,Cruise,3000,2100
27780,26520,7,22,0,1240,Idle,3000,2100
27840,26580,7,23,0,5431,Climb,3000,2100
27900,26580,7,23,0,49,PowerOff,3000,2100
27960,26640,7,24,0,7864,Cruise,3000,2100
28020,26700,7,25,0,7864,Cruise,3000,2100
28080,26760,7,26,0,6500,Cruise,3000,2100
28140,26820,7,27,0,6507,Cruise,3000,2100
28200,26880,7,28,0,5603,Climb,3000,2100
28260,26940,7,29,0,5242,Climb,3000,2100
28320,27000,7,30,0,5375,Climb,3000,2100
28380,27060,7,31,0,6306,Cruise,3000,2100
28440,27120,7,32,0,9358,Caution,3060,2100
28500,27180,7,33,0,8490,Cruise,3060,2100
28560,27240,7,34,0,8583,Cruise,3060,2100
28620,27300,7,35,0,8914,Cruise,3060,2100
28680,27360,7,36,0,8838,Cruise,3060,2100
28740,27420,7,37,0,7443,Cruise,3060,2100
28800,27480,7,38,0,4585,Climb,3060,2100
28860,27540,7,39,0,3968,Climb,3060,2100
28920,27600,7,40,0,8564,Cruise,3060,2100
28980,27660,7,41,0,4112,Climb,3060,2100
29040,27720,7,42,0,8853,Cruise,3060,2100
29100,27780,7,43,0,3018,Idle,3060,2100
29160,27840,7,44,0,7016,Cruise,3060,2100
29220,27900,7,45,0,5947,Climb,3060,2100
29280,27960,7,46,0,8041,Cruise,3060,2100
29340,28020,7,47,0,7571,Cruise,3060,2100
29400,28080,7,48,0,6973,Cruise,3060,2100
29460,28140,7,49,0,8779,Cruise,3060,2100
29520,28200,7,50,0,10199,RedLine,3060,2160
29580,28260,7,51,0,6946,Cruise,3060,2160
29640,28320,7,52,0,7808,Cruise,3060,2160
29700,28320,7,52,0,831,PowerOff,3060,2160
29760,28380,7,53,0,9685,Caution,3120,2160
29820,28440,7,54,0,3282,Idle,3120,2160
29880,28440,7,54,0,877,PowerOff,3120,2160
29940,28500,7,55,0,2459,Idle,3120,2160
30000,28560,7,56,0,9872,RedLine,3120,2220
30060,28620,7,57,0,7158,Cruise,3120,2220
30120,28680,7,58,0,5016,Climb,3120,2220
30180,28740,7,59,0,9537,Caution,3180,2220
30240,28800,8,0,0,4177,Climb,3180,2220
30300,28860,8,1,0,5180,Climb,3180,2220
30360,28920,8,2,0,6993,Cruise,3180,2220
30420,28980,8,3,0,2012,Idle,3180,2220
30480,29040,8,4,0,4837,Climb,3180,2220
30540,29100,8,5,0,2913,Idle,3180,2220
30600,29160,8,6,0,9860,RedLine,3180,2280
30660,29220,8,7,0,7003,Cruise,3180,2280
30720,29280,8,8,0,1567,Idle,3180,2280
30780,29340,8,9,0,7285,Cruise,3180,2280
30840,29400,8,10,0,7663,Cruise,3180,2280
30900,29460,8,11,0,6944,Cruise,3180,2280
30960,29520,8,12,0,3732,Climb,3180,2280
31020,29580,8,13,0,10112,RedLine,3180,2340
31080,29640,8,14,0,1511,Idle,3180,2340
31140,29700,8,15,0,9327,Caution,3240,2340
31200,29760,8,16,0,6530,Cruise,3240,2340
31260,29820,8,17,0,4222,Climb,3240,2340
31320,29880,8,18,0,5033,Climb,3240,2340
31380,29880,8,18,0,640,PowerOff,3240,2340
31440,29940,8,19,0,5958,Climb,3240,2340
31500,30000,8,20,0,7724,Cruise,3240,2340
31560,30060,8,21,0,1072,Idle,3240,2340
31620,30120,8,22,0,4346,Climb,3240,2340
31680,30180,8,23,0,7607,Cruise,3240,2340
31740,30240,8,24,0,7541,Cruise,3240,2340
31800,30300,8,25,0,9372,Caution,3300,2340
31860,30360,8,26,0,8949,Cruise,3300,2340
31920,30420,8,27,0,8691,Cruise,3300,2340
31980,30480,8,28,0,6597,Cruise,3300,2340
32040,30540,8,29,0,4056,Climb,3300,2340
32100,30600,8,30,0,6687,Cruise,3300,2340
32160,30660,8,31,0,5673,Climb,3300,2340
32220,30720,8,32,0,7284,Cruise,3300,2340
32280,30780,8,33,0,1631,Idle,3300,2340
32340,30840,8,34,0,4262,Climb,3300,2340
32400,30900,8,35,0,5525,Climb,3300,2340
32460,30900,8,35,0,885,PowerOff,3300,2340
32520,30960,8,36,0,5090,Climb,3300,2340
32580,31020,8,37,0,6230,Cruise,3300,2340
32640,31080,8,38,0,7304,Cruise,3300,2340
32700,31140,8,39,0,5268,Climb,3300,2340
32760,31200,8,40,0,8902,Cruise,3300,2340
32820,31260,8,41,0,7638,Cruise,3300,2340
32880,31320,8,42,0,9909,RedLine,3300,2400
32940,31380,8,43,0,9547,Caution,3360,2400
33000,31440,8,44,0,8535,Cruise,3360,2400
33060,31500,8,45,0,3768,Climb,3360,2400
33120,31560,8,46,0,5436,Climb,3360,2400
33180,31620,8,47,0,1940,Idle,3360,2400
33240,31680,8,48,0,7616,Cruise,3360,2400
33300,31740,8,49,0,8568,Cruise,3360,2400
33360,31800,8,50,0,2702,Idle,3360,2400
33420,31860,8,51,0,7753,Cruise,3360,2400
33480,31920,8,52,0,6126,Cruise,3360,2400
33540,31920,8,52,0,872,PowerOff,3360,2400
33600,31920,8,52,0,799,PowerOff,3360,2400
